Epoch,Accuracy,Precision,Recall,F1 score,AUC score,Avg False Positive,Avg False Negative,fair value_TP,deal price_TP,discounted cash flow_TP,market efficiency_TP,stock price_TP,market multiples_TP,analyst price target_TP,multiples-based valuation_TP,abnormal return_TP,irrelevant_TP,fair value_TN,deal price_TN,discounted cash flow_TN,market efficiency_TN,stock price_TN,market multiples_TN,analyst price target_TN,multiples-based valuation_TN,abnormal return_TN,irrelevant_TN,fair value_FP,deal price_FP,discounted cash flow_FP,market efficiency_FP,stock price_FP,market multiples_FP,analyst price target_FP,multiples-based valuation_FP,abnormal return_FP,irrelevant_FP,fair value_FN,deal price_FN,discounted cash flow_FN,market efficiency_FN,stock price_FN,market multiples_FN,analyst price target_FN,multiples-based valuation_FN,abnormal return_FN,irrelevant_FN
21,0.9542590725806451,0.9542022087335758,0.9543080939947781,0.9505288318064936,0.6200766930917493,3.5,3.5,2,8,9,4,0,1,0,0,0,707,762,751,740,753,761,760,765,766,765,36,1,6,10,1,2,1,0,0,0,14,1,1,7,8,3,4,1,0,1,9
22,0.9542590725806451,0.9570235134613494,0.9543080939947781,0.9508423259788165,0.6359513158827291,3.5,3.5,2,7,9,4,1,1,0,0,0,707,763,751,740,754,761,760,765,766,765,34,0,6,10,0,2,1,0,0,0,16,1,2,7,8,2,4,1,0,1,9
23,0.9555611559139785,0.9600232085871772,0.9556135770234987,0.9526773975212851,0.6485378641524113,3.4,3.4,2,8,10,4,1,1,0,0,0,706,763,750,740,754,761,760,765,766,765,36,0,7,10,0,2,1,0,0,0,14,1,1,6,8,2,4,1,0,1,10
24,0.9516549059139785,0.9527299213494602,0.9516971279373369,0.9475536445269518,0.6233656482823556,3.7,3.7,2,6,8,4,1,1,0,0,0,707,763,751,741,754,761,760,765,766,765,31,0,6,9,0,2,1,0,0,0,19,1,3,8,8,2,4,1,0,1,9
25,0.9529569892473119,0.9551502744923397,0.9530026109660574,0.9492917469226791,0.6313936594868375,3.6,3.6,2,7,8,4,1,1,0,0,0,707,763,751,740,754,761,760,765,766,765,33,0,6,10,0,2,1,0,0,0,17,1,2,8,8,2,4,1,0,1,9
26,0.9529569892473119,0.9551502744923397,0.9530026109660574,0.9492917469226791,0.6313936594868375,3.6,3.6,2,7,8,4,1,1,0,0,0,707,763,751,740,754,761,760,765,766,765,33,0,6,10,0,2,1,0,0,0,17,1,2,8,8,2,4,1,0,1,9
27,0.9516549059139785,0.9491689437529075,0.9516971279373369,0.9474138060952683,0.6074899080658448,3.7,3.7,2,7,8,4,0,1,0,0,0,707,763,751,741,752,761,760,765,766,765,33,0,6,9,2,2,1,0,0,0,17,1,2,8,8,3,4,1,0,1,9
28,0.9490507392473119,0.9514192301850417,0.9490861618798956,0.9451337974723149,0.6056906066235561,3.9,3.9,2,7,7,3,1,1,0,0,0,706,763,750,740,754,761,760,764,766,765,32,0,7,10,0,2,1,1,0,0,18,1,2,9,9,2,4,1,0,1,10
29,0.9516549059139785,0.9520396550308428,0.9516971279373369,0.9482581055901089,0.631392933238182,3.7,3.7,2,7,8,4,1,1,0,0,0,706,762,750,741,753,761,760,765,766,765,34,1,7,9,1,2,1,0,0,0,16,1,2,8,8,2,4,1,0,1,10
30,0.9516549059139785,0.9501308233195528,0.9516971279373369,0.9474285814468897,0.6233652728549315,3.7,3.7,2,6,8,4,1,1,0,0,0,707,763,752,741,753,761,760,765,766,765,31,0,5,9,1,2,1,0,0,0,19,1,3,8,8,2,4,1,0,1,9
31,0.9529569892473119,0.9533924202573933,0.9530026109660574,0.9486228515959579,0.6233657543573704,3.6,3.6,2,6,8,4,1,1,0,0,0,708,763,753,740,754,761,760,765,766,765,31,0,4,10,0,2,1,0,0,0,19,1,3,8,8,2,4,1,0,1,8
32,0.9542590725806451,0.95420926621971,0.9543080939947781,0.949694538425946,0.6233667411016939,3.5,3.5,2,6,8,4,1,1,0,0,0,709,763,754,740,754,761,760,765,766,765,31,0,3,10,0,2,1,0,0,0,19,1,3,8,8,2,4,1,0,1,7
